ISO 8601 Time,Temperature (C)
2024-03-05T09:26:11.000,25.1426
2024-03-05T09:41:11.000,24.8491
2024-03-05T09:56:11.000,23.8634
2024-03-05T10:11:11.000,23.4020
2024-03-05T10:26:11.000,23.3261
2024-03-05T10:41:11.000,24.1748
2024-03-05T10:56:11.000,29.8036
2024-03-05T11:11:11.000,28.2933
2024-03-05T11:26:11.000,28.2961
2024-03-05T11:41:11.000,28.2676
2024-03-05T11:56:11.000,28.2833
2024-03-05T12:11:11.000,28.3218
2024-03-05T12:26:11.000,28.3603
2024-03-05T12:41:11.000,28.4074
2024-03-05T12:56:11.000,28.4830
2024-03-05T13:11:11.000,28.5530
2024-03-05T13:26:11.000,28.6174
2024-03-05T13:41:11.000,28.6317
2024-03-05T13:56:11.000,28.6245
2024-03-05T14:11:11.000,28.6488
2024-03-05T14:26:11.000,28.6803
2024-03-05T14:41:11.000,28.7218
2024-03-05T14:56:11.000,28.7619
2024-03-05T15:11:11.000,28.7862
2024-03-05T15:26:11.000,28.8163
2024-03-05T15:41:11.000,28.8392
2024-03-05T15:56:11.000,28.8521
2024-03-05T16:11:11.000,28.8679
2024-03-05T16:26:11.000,28.8535
2024-03-05T16:41:11.000,28.8249
2024-03-05T16:56:11.000,28.6903
2024-03-05T17:11:11.000,28.6617
2024-03-05T17:26:11.000,28.6417
2024-03-05T17:41:11.000,28.6259
2024-03-05T17:56:11.000,28.5988
2024-03-05T18:11:11.000,28.5802
2024-03-05T18:26:11.000,28.5673
2024-03-05T18:41:11.000,28.5359
2024-03-05T18:56:11.000,28.5073
2024-03-05T19:11:11.000,28.4873
2024-03-05T19:26:11.000,28.4730
2024-03-05T19:41:11.000,28.4616
2024-03-05T19:56:11.000,28.4531
2024-03-05T20:11:11.000,28.4416
2024-03-05T20:26:11.000,28.4345
2024-03-05T20:41:11.000,28.4245
2024-03-05T20:56:11.000,28.4174
2024-03-05T21:11:11.000,28.4088
2024-03-05T21:26:11.000,28.4002
2024-03-05T21:41:11.000,28.3888
2024-03-05T21:56:11.000,28.3689
2024-03-05T22:11:11.000,28.3503
2024-03-05T22:26:11.000,28.3261
2024-03-05T22:41:11.000,28.3132
2024-03-05T22:56:11.000,28.3090
2024-03-05T23:11:11.000,28.2904
2024-03-05T23:26:11.000,28.2747
2024-03-05T23:41:11.000,28.2619
2024-03-05T23:56:11.000,28.2477
2024-03-06T00:11:11.000,28.2320
2024-03-06T00:26:11.000,28.2177
2024-03-06T00:41:11.000,28.1950
2024-03-06T00:56:11.000,28.1864
2024-03-06T01:11:11.000,28.1750
2024-03-06T01:26:11.000,28.1494
2024-03-06T01:41:11.000,28.1394
2024-03-06T01:56:11.000,28.1266
2024-03-06T02:11:11.000,28.1138
2024-03-06T02:26:11.000,28.1038
2024-03-06T02:41:11.000,28.1024
2024-03-06T02:56:11.000,28.1067
2024-03-06T03:11:11.000,28.0896
2024-03-06T03:26:11.000,28.0768
2024-03-06T03:41:11.000,28.0626
2024-03-06T03:56:11.000,28.0426
2024-03-06T04:11:11.000,28.0213
2024-03-06T04:26:11.000,28.0000
2024-03-06T04:41:11.000,27.9787
2024-03-06T04:56:11.000,27.9644
2024-03-06T05:11:11.000,27.9573
2024-03-06T05:26:11.000,27.9431
2024-03-06T05:41:11.000,27.9317
2024-03-06T05:56:11.000,27.9175
2024-03-06T06:11:11.000,27.8891
2024-03-06T06:26:11.000,27.8778
2024-03-06T06:41:11.000,27.8650
2024-03-06T06:56:11.000,27.8053
2024-03-06T07:11:11.000,27.7968
2024-03-06T07:26:11.000,27.7798
2024-03-06T07:41:11.000,27.7883
2024-03-06T07:56:11.000,27.8039
2024-03-06T08:11:11.000,27.7968
2024-03-06T08:26:11.000,27.8153
2024-03-06T08:41:11.000,27.8139
2024-03-06T08:56:11.000,27.7911
2024-03-06T09:11:11.000,27.8437
2024-03-06T09:26:11.000,27.8650
2024-03-06T09:41:11.000,27.9033
2024-03-06T09:56:11.000,27.9232
2024-03-06T10:11:11.000,27.9630
2024-03-06T10:26:11.000,28.0398
2024-03-06T10:41:11.000,28.0583
2024-03-06T10:56:11.000,28.1522
2024-03-06T11:11:11.000,28.1893
2024-03-06T11:26:11.000,28.1764
2024-03-06T11:41:11.000,28.2078
2024-03-06T11:56:11.000,28.2420
2024-03-06T12:11:11.000,28.2576
2024-03-06T12:26:11.000,28.3246
2024-03-06T12:41:11.000,28.3646
2024-03-06T12:56:11.000,28.4074
2024-03-06T13:11:11.000,28.4987
2024-03-06T13:26:11.000,28.5759
2024-03-06T13:41:11.000,28.6016
2024-03-06T13:56:11.000,28.6174
2024-03-06T14:11:11.000,28.6517
2024-03-06T14:26:11.000,28.7032
2024-03-06T14:41:11.000,28.7404
2024-03-06T14:56:11.000,28.7461
2024-03-06T15:11:11.000,28.7647
2024-03-06T15:26:11.000,28.7103
2024-03-06T15:41:11.000,28.6746
2024-03-06T15:56:11.000,28.7060
2024-03-06T16:11:11.000,28.6803
2024-03-06T16:26:11.000,28.6031
2024-03-06T16:41:11.000,28.5402
2024-03-06T16:56:11.000,28.5116
2024-03-06T17:11:11.000,28.5045
2024-03-06T17:26:11.000,28.5073
2024-03-06T17:41:11.000,28.5387
2024-03-06T17:56:11.000,28.5016
2024-03-06T18:11:11.000,28.4902
2024-03-06T18:26:11.000,28.5059
2024-03-06T18:41:11.000,28.4945
2024-03-06T18:56:11.000,28.4873
2024-03-06T19:11:11.000,28.5045
2024-03-06T19:26:11.000,28.5045
2024-03-06T19:41:11.000,28.4945
2024-03-06T19:56:11.000,28.4816
2024-03-06T20:11:11.000,28.4745
2024-03-06T20:26:11.000,28.4588
2024-03-06T20:41:11.000,28.4416
2024-03-06T20:56:11.000,28.4245
2024-03-06T21:11:11.000,28.4117
2024-03-06T21:26:11.000,28.3774
2024-03-06T21:41:11.000,28.3532
2024-03-06T21:56:11.000,28.3432
2024-03-06T22:11:11.000,28.3218
2024-03-06T22:26:11.000,28.3061
2024-03-06T22:41:11.000,28.2947
2024-03-06T22:56:11.000,28.2733
2024-03-06T23:11:11.000,28.2562
2024-03-06T23:26:11.000,28.2391
2024-03-06T23:41:11.000,28.2192
2024-03-06T23:56:11.000,28.2021
2024-03-07T00:11:11.000,28.1821
2024-03-07T00:26:11.000,28.1665
2024-03-07T00:41:11.000,28.1537
2024-03-07T00:56:11.000,28.1508
2024-03-07T01:11:11.000,28.1437
2024-03-07T01:26:11.000,28.1024
2024-03-07T01:41:11.000,28.0355
2024-03-07T01:56:11.000,27.9900
2024-03-07T02:11:11.000,27.9588
2024-03-07T02:26:11.000,27.9431
2024-03-07T02:41:11.000,27.9062
2024-03-07T02:56:11.000,27.8536
2024-03-07T03:11:11.000,27.8451
2024-03-07T03:26:11.000,27.8465
2024-03-07T03:41:11.000,27.8522
2024-03-07T03:56:11.000,27.8579
2024-03-07T04:11:11.000,27.8451
2024-03-07T04:26:11.000,27.8323
2024-03-07T04:41:11.000,27.8096
2024-03-07T04:56:11.000,27.7954
2024-03-07T05:11:11.000,27.7897
2024-03-07T05:26:11.000,27.7642
2024-03-07T05:41:11.000,27.7514
2024-03-07T05:56:11.000,27.7230
2024-03-07T06:11:11.000,27.7145
2024-03-07T06:26:11.000,27.7046
2024-03-07T06:41:11.000,27.6947
2024-03-07T06:56:11.000,27.6706
2024-03-07T07:11:11.000,27.6493
2024-03-07T07:26:11.000,27.6323
