Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 07/09/2023
TIME       : 09:43:35
FILENAME   : C:\Users\jamar\Documents\Masters Thesis Project\Magueyes\CSV\VEI_S2_230907094335_X4479.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=24
  Status                  =Started =0
  Serial number           =..00-X4479  324.
  Instrument number       =          UTC-4     
                          =0
  Location                =VEI_S2
  Sample period           =M15
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


[Series settings]
  Serial number           =..00-X4479  324.
  Instrument number       =          UTC-4     
  Location                =VEI_S2
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =48:30:11 17/08/23
  End date / time         =48:30:09 07/09/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


Date/time,Pressure[cmH2O],Temperature[°C],2:Spec.cond.[ms/cm]
2023/08/18 10:15:48,1266.775,30.883,47.136
2023/08/18 10:30:48,1268.117,30.943,47.280
2023/08/18 10:45:48,1267.242,31.037,47.408
2023/08/18 11:00:48,1266.308,31.077,47.600
2023/08/18 11:15:48,1266.192,31.110,42.876
2023/08/18 11:30:48,1266.775,31.140,43.272
2023/08/18 11:45:48,1266.308,31.227,43.612
2023/08/18 12:00:48,1265.433,31.263,43.864
2023/08/18 12:15:48,1265.842,31.297,43.764
2023/08/18 12:30:48,1265.433,31.390,44.064
2023/08/18 12:45:48,1267.242,31.477,44.364
2023/08/18 13:00:48,1266.600,31.570,44.584
2023/08/18 13:15:48,1265.842,31.560,44.740
2023/08/18 13:30:48,1266.600,31.610,44.900
2023/08/18 13:45:48,1268.000,31.577,45.056
2023/08/18 14:00:48,1267.358,31.570,45.164
2023/08/18 14:15:48,1268.875,31.360,45.208
2023/08/18 14:30:48,1268.292,31.310,45.392
2023/08/18 14:45:48,1268.000,31.287,45.604
2023/08/18 15:00:48,1270.217,31.310,45.816
2023/08/18 15:15:48,1269.633,31.390,46.052
2023/08/18 15:30:48,1268.875,31.460,46.276
2023/08/18 15:45:48,1270.100,31.507,46.492
2023/08/18 16:00:48,1271.150,31.453,46.608
2023/08/18 16:15:48,1272.200,31.467,46.808
2023/08/18 16:30:48,1271.908,31.453,45.108
2023/08/18 16:45:48,1272.492,31.437,45.308
2023/08/18 17:00:48,1272.200,31.420,45.472
2023/08/18 17:15:48,1271.908,31.420,45.592
2023/08/18 17:30:48,1273.367,31.407,45.756
2023/08/18 17:45:48,1273.075,31.373,45.928
2023/08/18 18:00:48,1273.833,31.360,46.044
2023/08/18 18:15:48,1273.075,31.360,46.068
2023/08/18 18:30:48,1273.542,31.327,46.208
2023/08/18 18:45:48,1274.592,31.333,46.364
2023/08/18 19:00:48,1276.225,31.310,46.508
2023/08/18 19:15:48,1277.158,31.287,46.708
2023/08/18 19:30:48,1275.525,31.273,47.248
2023/08/18 19:45:48,1278.967,31.327,47.008
2023/08/18 20:00:48,1278.500,31.287,47.128
2023/08/18 20:15:48,1277.742,31.240,47.660
2023/08/18 20:30:48,1278.967,31.240,46.428
2023/08/18 20:45:48,1280.192,31.233,46.576
2023/08/18 21:00:48,1279.083,31.227,46.684
2023/08/18 21:15:48,1278.383,31.227,46.844
2023/08/18 21:30:48,1280.017,31.217,45.164
2023/08/18 21:45:48,1279.258,31.193,45.336
2023/08/18 22:00:48,1279.725,31.217,45.492
2023/08/18 22:15:48,1278.792,31.280,45.740
2023/08/18 22:30:48,1280.017,31.257,45.820
2023/08/18 22:45:48,1279.725,31.263,46.032
2023/08/18 23:00:48,1279.258,31.297,45.852
2023/08/18 23:15:48,1279.433,31.280,46.360
2023/08/18 23:30:48,1279.725,31.233,46.468
2023/08/18 23:45:48,1279.083,31.250,46.628
2023/08/19 00:00:48,1277.917,31.233,46.736
2023/08/19 00:15:48,1278.675,31.233,46.852
2023/08/19 00:30:48,1279.725,31.187,46.980
2023/08/19 00:45:48,1278.675,31.157,47.060
2023/08/19 01:00:48,1277.450,31.117,47.172
2023/08/19 01:15:48,1279.083,31.110,47.340
2023/08/19 01:30:48,1278.675,31.117,47.452
2023/08/19 01:45:48,1276.867,31.047,47.516
2023/08/19 02:00:48,1277.625,31.070,47.628
2023/08/19 02:15:48,1277.158,31.047,47.752
2023/08/19 02:30:48,1276.225,31.053,47.892
2023/08/19 02:45:48,1276.225,31.070,47.996
2023/08/19 03:00:48,1277.158,31.060,48.140
2023/08/19 03:15:48,1275.642,31.037,48.232
2023/08/19 03:30:48,1275.933,31.013,48.340
2023/08/19 03:45:48,1276.108,30.960,48.436
2023/08/19 04:00:48,1275.933,30.913,48.492
2023/08/19 04:15:48,1274.767,30.943,48.572
2023/08/19 04:30:48,1275.058,30.850,48.640
2023/08/19 04:45:48,1274.883,30.850,48.636
2023/08/19 05:00:48,1275.642,30.797,48.704
2023/08/19 05:15:48,1275.525,30.780,48.804
2023/08/19 05:30:48,1274.125,30.773,48.868
2023/08/19 05:45:48,1274.125,30.803,48.952
2023/08/19 06:00:48,1273.833,30.797,49.040
2023/08/19 06:15:48,1273.542,30.810,49.080
2023/08/19 06:30:48,1272.492,30.797,49.140
2023/08/19 06:45:48,1271.733,30.797,49.176
2023/08/19 07:00:48,1271.150,30.810,49.232
2023/08/19 07:15:48,1272.783,30.797,49.252
2023/08/19 07:30:48,1271.442,30.803,49.336
2023/08/19 07:45:48,1271.733,30.787,49.372
2023/08/19 08:00:48,1272.958,30.797,49.408
2023/08/19 08:15:48,1271.908,30.797,49.444
2023/08/19 08:30:48,1271.267,30.850,49.504
2023/08/19 08:45:48,1272.667,30.797,49.540
2023/08/19 09:00:48,1272.492,30.820,49.636
2023/08/19 09:15:48,1272.025,30.850,49.724
2023/08/19 09:30:48,1272.958,30.890,49.840
2023/08/19 09:45:48,1273.717,30.977,49.928
2023/08/19 10:00:48,1271.558,31.077,50.076
2023/08/19 10:15:48,1273.250,31.147,50.224
2023/08/19 10:30:48,1273.250,31.240,50.336
2023/08/19 10:45:48,1272.492,31.217,50.456
2023/08/19 11:00:48,1271.558,31.273,50.540
2023/08/19 11:15:48,1273.717,31.350,50.172
2023/08/19 11:30:48,1272.667,31.367,50.220
2023/08/19 11:45:48,1272.025,31.397,49.928
2023/08/19 12:00:48,1272.783,31.453,50.044
2023/08/19 12:15:48,1271.267,31.577,50.212
2023/08/19 12:30:48,1270.392,31.623,50.328
2023/08/19 12:45:48,1271.267,31.670,50.452
2023/08/19 13:00:48,1272.492,31.703,50.564
2023/08/19 13:15:48,1270.508,31.733,50.628
2023/08/19 13:30:48,1270.100,31.757,50.628
2023/08/19 13:45:48,1273.542,31.763,50.700
2023/08/19 14:00:48,1271.733,31.787,50.764
2023/08/19 14:15:48,1269.750,31.787,50.700
2023/08/19 14:30:48,1272.667,31.797,50.300
2023/08/19 14:45:48,1272.667,31.797,50.408
2023/08/19 15:00:48,1271.558,31.827,50.104
2023/08/19 15:15:48,1272.667,31.913,49.912
2023/08/19 15:30:48,1273.833,31.803,50.432
2023/08/19 15:45:48,1274.300,31.797,50.520
2023/08/19 16:00:48,1274.417,31.763,49.968
2023/08/19 16:15:48,1274.417,31.703,49.980
2023/08/19 16:30:48,1275.175,31.703,49.748
2023/08/19 16:45:48,1273.717,31.727,49.864
2023/08/19 17:00:48,1276.225,31.710,49.892
2023/08/19 17:15:48,1276.400,31.703,49.828
2023/08/19 17:30:48,1276.225,31.623,49.920
2023/08/19 17:45:48,1276.575,31.633,49.920
2023/08/19 18:00:48,1277.450,31.647,49.920
2023/08/19 18:15:48,1279.258,31.623,49.888
2023/08/19 18:30:48,1277.917,31.623,49.900
2023/08/19 18:45:48,1279.842,31.617,49.924
2023/08/19 19:00:48,1279.433,31.617,49.956
2023/08/19 19:15:48,1278.383,31.640,49.948
2023/08/19 19:30:48,1278.208,31.600,49.944
2023/08/19 19:45:48,1279.725,31.583,49.988
2023/08/19 20:00:48,1279.433,31.547,49.964
2023/08/19 20:15:48,1281.242,31.507,50.032
2023/08/19 20:30:48,1280.775,31.500,50.108
2023/08/19 20:45:48,1278.675,31.500,50.144
