ISO 8601 Time,Temperature (C)
2023-08-17T11:44:22.000,22.2057
2023-08-17T11:59:22.000,21.7362
2023-08-17T12:14:22.000,26.0069
2023-08-17T12:29:22.000,23.5387
2023-08-17T12:44:22.000,22.0491
2023-08-17T12:59:22.000,20.6086
2023-08-17T13:14:22.000,21.8665
2023-08-17T13:29:22.000,31.7282
2023-08-17T13:44:22.000,31.3729
2023-08-17T13:59:22.000,31.3670
2023-08-17T14:14:22.000,31.3715
2023-08-17T14:29:22.000,31.3935
2023-08-17T14:44:22.000,31.4303
2023-08-17T14:59:22.000,31.4760
2023-08-17T15:14:22.000,31.5364
2023-08-17T15:29:22.000,31.5939
2023-08-17T15:44:22.000,31.6367
2023-08-17T15:59:22.000,31.6249
2023-08-17T16:14:22.000,31.6234
2023-08-17T16:29:22.000,31.6028
2023-08-17T16:44:22.000,31.6087
2023-08-17T16:59:22.000,31.6028
2023-08-17T17:14:22.000,31.5408
2023-08-17T17:29:22.000,31.4848
2023-08-17T17:44:22.000,31.4789
2023-08-17T17:59:22.000,31.4730
2023-08-17T18:14:22.000,31.4760
2023-08-17T18:29:22.000,31.4627
2023-08-17T18:44:22.000,31.5099
2023-08-17T18:59:22.000,31.5275
2023-08-17T19:14:22.000,31.4951
2023-08-17T19:29:22.000,31.4642
2023-08-17T19:44:22.000,31.4627
2023-08-17T19:59:22.000,31.4627
2023-08-17T20:14:22.000,31.4495
2023-08-17T20:29:22.000,31.4303
2023-08-17T20:44:22.000,31.4215
2023-08-17T20:59:22.000,31.4141
2023-08-17T21:14:22.000,31.4097
2023-08-17T21:29:22.000,31.3906
2023-08-17T21:44:22.000,31.3715
2023-08-17T21:59:22.000,31.3626
2023-08-17T22:14:22.000,31.3420
2023-08-17T22:29:22.000,31.3273
2023-08-17T22:44:22.000,31.3156
2023-08-17T22:59:22.000,31.3023
2023-08-17T23:14:22.000,31.3067
2023-08-17T23:29:22.000,31.2994
2023-08-17T23:44:22.000,31.2935
2023-08-17T23:59:22.000,31.3023
2023-08-18T00:14:22.000,31.3067
2023-08-18T00:29:22.000,31.3038
