ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-09-08T10:36:50.000,0.58,144.64,-0.47,0.33
2023-09-08T10:51:50.000,0.39,143.47,-0.31,0.23
2023-09-08T11:06:50.000,0.98,145.45,-0.81,0.56
2023-09-08T11:21:50.000,0.54,154.74,-0.49,0.23
2023-09-08T11:36:50.000,0.81,154.55,-0.73,0.35
2023-09-08T11:51:50.000,0.38,152.90,-0.34,0.17
2023-09-08T12:06:50.000,0.63,151.31,-0.55,0.30
2023-09-08T12:21:50.000,0.37,146.04,-0.30,0.20
2023-09-08T12:36:50.000,0.42,165.52,-0.41,0.10
2023-09-08T12:51:50.000,0.54,155.22,-0.49,0.22
2023-09-08T13:06:50.000,0.68,158.41,-0.64,0.25
2023-09-08T13:21:50.000,1.00,141.77,-0.79,0.62
2023-09-08T13:36:50.000,0.45,161.44,-0.43,0.14
2023-09-08T13:51:50.000,0.63,147.58,-0.53,0.34
2023-09-08T14:06:50.000,0.66,112.93,-0.26,0.61
2023-09-08T14:21:50.000,0.44,150.77,-0.38,0.22
2023-09-08T14:36:50.000,0.27,107.91,-0.08,0.26
2023-09-08T14:51:50.000,0.78,145.47,-0.64,0.44
2023-09-08T15:06:50.000,0.26,210.56,-0.22,-0.13
2023-09-08T15:21:50.000,0.40,150.64,-0.35,0.20
2023-09-08T15:36:50.000,0.64,183.66,-0.64,-0.04
2023-09-08T15:51:50.000,0.96,172.24,-0.95,0.13
2023-09-08T16:06:50.000,0.44,160.97,-0.42,0.14
2023-09-08T16:21:50.000,0.46,150.08,-0.40,0.23
2023-09-08T16:36:50.000,0.21,138.75,-0.15,0.14
2023-09-08T16:51:50.000,0.51,174.50,-0.51,0.05
2023-09-08T17:06:50.000,0.49,173.18,-0.49,0.06
2023-09-08T17:21:50.000,0.26,131.72,-0.17,0.20
2023-09-08T17:36:50.000,0.59,168.53,-0.58,0.12
2023-09-08T17:51:50.000,0.23,173.42,-0.23,0.03
2023-09-08T18:06:50.000,0.23,168.62,-0.23,0.05
2023-09-08T18:21:50.000,0.52,162.30,-0.50,0.16
2023-09-08T18:36:50.000,0.53,164.51,-0.52,0.14
2023-09-08T18:51:50.000,0.36,156.14,-0.33,0.15
2023-09-08T19:06:50.000,0.23,254.49,-0.06,-0.23
2023-09-08T19:21:50.000,0.28,260.88,-0.04,-0.27
2023-09-08T19:36:50.000,0.22,265.64,-0.02,-0.21
2023-09-08T19:51:50.000,0.28,254.53,-0.07,-0.27
2023-09-08T20:06:50.000,0.20,271.11,0.00,-0.20
2023-09-08T20:21:50.000,0.20,253.19,-0.06,-0.20
2023-09-08T20:36:50.000,0.48,256.80,-0.11,-0.47
2023-09-08T20:51:50.000,0.40,220.71,-0.30,-0.26
2023-09-08T21:06:50.000,0.25,281.90,0.05,-0.24
2023-09-08T21:21:50.000,0.19,272.24,0.01,-0.19
2023-09-08T21:36:50.000,0.35,231.58,-0.22,-0.27
2023-09-08T21:51:50.000,0.31,240.68,-0.15,-0.27
2023-09-08T22:06:50.000,0.33,214.90,-0.27,-0.19
2023-09-08T22:21:50.000,0.31,241.51,-0.15,-0.27
2023-09-08T22:36:50.000,0.26,204.43,-0.23,-0.11
2023-09-08T22:51:50.000,0.27,222.59,-0.20,-0.18
2023-09-08T23:06:50.000,0.17,219.02,-0.13,-0.11
2023-09-08T23:21:50.000,0.22,251.08,-0.07,-0.20
2023-09-08T23:36:50.000,0.25,273.03,0.01,-0.25
2023-09-08T23:51:50.000,0.23,240.21,-0.11,-0.20
2023-09-09T00:06:50.000,0.24,251.47,-0.08,-0.23
2023-09-09T00:21:50.000,0.25,208.87,-0.21,-0.12
2023-09-09T00:36:50.000,0.14,284.87,0.04,-0.14
2023-09-09T00:51:50.000,0.31,209.37,-0.27,-0.15
2023-09-09T01:06:50.000,0.06,246.72,-0.03,-0.06
2023-09-09T01:21:50.000,0.13,277.66,0.02,-0.13
2023-09-09T01:36:50.000,0.36,204.91,-0.32,-0.15
2023-09-09T01:51:50.000,0.16,250.98,-0.05,-0.15
2023-09-09T02:06:50.000,0.28,258.31,-0.06,-0.28
2023-09-09T02:21:50.000,0.21,253.59,-0.06,-0.21
2023-09-09T02:36:50.000,0.27,225.15,-0.19,-0.19
2023-09-09T02:51:50.000,0.25,255.33,-0.06,-0.24
2023-09-09T03:06:50.000,0.17,238.63,-0.09,-0.15
2023-09-09T03:21:50.000,0.31,241.38,-0.15,-0.27
2023-09-09T03:36:50.000,0.24,227.95,-0.16,-0.18
2023-09-09T03:51:50.000,0.09,250.46,-0.03,-0.09
2023-09-09T04:06:50.000,0.25,230.98,-0.16,-0.19
2023-09-09T04:21:50.000,0.19,246.56,-0.07,-0.17
2023-09-09T04:36:50.000,0.31,196.94,-0.30,-0.09
2023-09-09T04:51:50.000,0.22,232.57,-0.13,-0.18
2023-09-09T05:06:50.000,0.17,263.11,-0.02,-0.17
2023-09-09T05:21:50.000,0.40,249.70,-0.14,-0.38
2023-09-09T05:36:50.000,0.59,224.12,-0.42,-0.41
2023-09-09T05:51:50.000,0.30,211.85,-0.25,-0.16
2023-09-09T06:06:50.000,0.39,225.87,-0.27,-0.28
2023-09-09T06:21:50.000,0.27,222.09,-0.20,-0.18
2023-09-09T06:36:50.000,0.58,220.60,-0.44,-0.38
2023-09-09T06:51:50.000,0.37,244.59,-0.16,-0.33
2023-09-09T07:06:50.000,0.75,224.70,-0.53,-0.53
2023-09-09T07:21:50.000,0.58,228.41,-0.38,-0.43
2023-09-09T07:36:50.000,0.47,227.01,-0.32,-0.35
2023-09-09T07:51:50.000,0.63,211.02,-0.54,-0.32
2023-09-09T08:06:50.000,0.50,209.41,-0.44,-0.25
2023-09-09T08:21:50.000,0.47,194.79,-0.46,-0.12
2023-09-09T08:36:50.000,0.54,219.33,-0.42,-0.34
2023-09-09T08:51:50.000,0.24,223.34,-0.17,-0.17
2023-09-09T09:06:50.000,0.27,195.18,-0.26,-0.07
2023-09-09T09:21:50.000,0.33,191.63,-0.33,-0.07
2023-09-09T09:36:50.000,0.25,206.90,-0.22,-0.11
2023-09-09T09:51:50.000,0.03,267.23,-0.00,-0.03
2023-09-09T10:06:50.000,0.20,170.60,-0.20,0.03
2023-09-09T10:21:50.000,0.08,111.45,-0.03,0.07
2023-09-09T10:36:50.000,0.11,145.46,-0.09,0.06
2023-09-09T10:51:50.000,0.29,146.93,-0.25,0.16
2023-09-09T11:06:50.000,0.16,125.25,-0.09,0.13
2023-09-09T11:21:50.000,0.43,153.46,-0.39,0.19
2023-09-09T11:36:50.000,0.29,179.77,-0.29,0.00
2023-09-09T11:51:50.000,0.32,149.50,-0.27,0.16
2023-09-09T12:06:50.000,0.18,133.89,-0.12,0.13
2023-09-09T12:21:50.000,0.59,93.77,-0.04,0.59
2023-09-09T12:36:50.000,0.32,166.85,-0.31,0.07
2023-09-09T12:51:50.000,0.47,132.45,-0.31,0.34
2023-09-09T13:06:50.000,0.68,140.48,-0.52,0.43
2023-09-09T13:21:50.000,0.28,170.76,-0.27,0.04
2023-09-09T13:36:50.000,0.39,198.89,-0.37,-0.13
2023-09-09T13:51:50.000,0.05,215.13,-0.04,-0.03
2023-09-09T14:06:50.000,0.39,166.38,-0.38,0.09
2023-09-09T14:21:50.000,0.15,99.28,-0.02,0.15
2023-09-09T14:36:50.000,0.36,192.13,-0.35,-0.07
2023-09-09T14:51:50.000,0.23,145.31,-0.19,0.13
2023-09-09T15:06:50.000,0.34,151.45,-0.30,0.16
2023-09-09T15:21:50.000,0.10,129.04,-0.06,0.08
