ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-08-18T12:29:22.000,3.11,141.4,-2.43,1.94
2023-08-18T12:44:22.000,3.14,152.21,-2.78,1.46
2023-08-18T12:59:22.000,1.8,142.39,-1.43,1.1
2023-08-18T13:14:22.000,1.87,143.97,-1.51,1.1
2023-08-18T13:29:22.000,1.66,126.69,-0.99,1.33
2023-08-18T13:44:22.000,1.41,140.85,-1.1,0.89
2023-08-18T13:59:22.000,1.29,126.28,-0.76,1.04
2023-08-18T14:14:22.000,0.85,108.44,-0.27,0.81
2023-08-18T14:29:22.000,0.78,98.36,-0.11,0.77
2023-08-18T14:44:22.000,1.41,132.13,-0.95,1.05
2023-08-18T14:59:22.000,0.88,114.76,-0.37,0.8
2023-08-18T15:14:22.000,0.75,97.97,-0.1,0.75
2023-08-18T15:29:22.000,0.8,110.23,-0.28,0.75
2023-08-18T15:44:22.000,0.83,110.14,-0.29,0.78
2023-08-18T15:59:22.000,0.66,124.82,-0.38,0.54
2023-08-18T16:14:22.000,0.86,102.31,-0.18,0.84
2023-08-18T16:29:22.000,0.66,84.41,0.06,0.66
2023-08-18T16:44:22.000,0.78,76.54,0.18,0.76
2023-08-18T16:59:22.000,0.56,135.3,-0.4,0.4
2023-08-18T17:14:22.000,0.39,68.9,0.14,0.36
2023-08-18T17:29:22.000,0.39,88.08,0.01,0.39
2023-08-18T17:44:22.000,0.34,99.11,-0.05,0.34
2023-08-18T17:59:22.000,0.4,97.58,-0.05,0.39
2023-08-18T18:14:22.000,0.46,74.39,0.12,0.44
2023-08-18T18:29:22.000,0.46,103.26,-0.1,0.44
2023-08-18T18:44:22.000,0.47,117.9,-0.22,0.42
2023-08-18T18:59:22.000,0.31,86.53,0.02,0.31
2023-08-18T19:14:22.000,0.66,73.86,0.18,0.63
2023-08-18T19:29:22.000,0.54,88.3,0.02,0.54
2023-08-18T19:44:22.000,0.47,87.3,0.02,0.46
2023-08-18T19:59:22.000,0.6,87.2,0.03,0.6
2023-08-18T20:14:22.000,0.45,82.45,0.06,0.45
2023-08-18T20:29:22.000,0.38,87.07,0.02,0.38
2023-08-18T20:44:22.000,0.31,136,-0.22,0.22
2023-08-18T20:59:22.000,0.39,93.15,-0.02,0.39
2023-08-18T21:14:22.000,0.31,100.02,-0.05,0.31
2023-08-18T21:29:22.000,0.85,295.44,0.37,-0.77
2023-08-18T21:44:22.000,0.53,119.27,-0.26,0.46
2023-08-18T21:59:22.000,0.7,147.66,-0.59,0.37
2023-08-18T22:14:22.000,0.58,116.4,-0.26,0.52
2023-08-18T22:29:22.000,0.29,111.27,-0.11,0.27
2023-08-18T22:44:22.000,0.3,120.65,-0.15,0.26
2023-08-18T22:59:22.000,0.27,148.8,-0.23,0.14
2023-08-18T23:14:22.000,0.08,81.92,0.01,0.08
2023-08-18T23:29:22.000,0.21,139.65,-0.16,0.13
2023-08-18T23:44:22.000,0.31,179.79,-0.31,0
2023-08-18T23:59:22.000,0.16,115.96,-0.07,0.15
2023-08-19T00:14:22.000,0.29,104.32,-0.07,0.28
2023-08-19T00:29:22.000,0.33,181.59,-0.33,-0.01
2023-08-19T00:44:22.000,0.51,172.61,-0.51,0.07
2023-08-19T00:59:22.000,0.29,146.09,-0.24,0.16
2023-08-19T01:14:22.000,0.42,188.34,-0.41,-0.06
2023-08-19T01:29:22.000,0.34,147.04,-0.29,0.19
2023-08-19T01:44:22.000,0.36,177.85,-0.36,0.01
2023-08-19T01:59:22.000,0.34,142.96,-0.27,0.21
2023-08-19T02:14:22.000,0.2,110.98,-0.07,0.19
2023-08-19T02:29:22.000,0.28,135.44,-0.2,0.2
2023-08-19T02:44:22.000,0.38,131.89,-0.25,0.28
2023-08-19T02:59:22.000,0.27,140.85,-0.21,0.17
2023-08-19T03:14:22.000,0.25,144.78,-0.2,0.14
2023-08-19T03:29:22.000,0.15,140.2,-0.12,0.1
2023-08-19T03:44:22.000,0.51,222.29,-0.38,-0.34
2023-08-19T03:59:22.000,0.44,186.5,-0.44,-0.05
2023-08-19T04:14:22.000,0.44,263.1,-0.05,-0.44
2023-08-19T04:29:22.000,0.28,184.94,-0.28,-0.02
2023-08-19T04:44:22.000,0.45,199.86,-0.42,-0.15
2023-08-19T04:59:22.000,0.35,207.84,-0.31,-0.16
2023-08-19T05:14:22.000,0.43,206.54,-0.38,-0.19
2023-08-19T05:29:22.000,0.22,86.57,0.01,0.22
2023-08-19T05:44:22.000,0.36,139.83,-0.28,0.23
2023-08-19T05:59:22.000,0.28,84.56,0.03,0.28
2023-08-19T06:14:22.000,0.21,98.15,-0.03,0.21
2023-08-19T06:29:22.000,0.18,127.65,-0.11,0.14
2023-08-19T06:44:22.000,0.23,107.72,-0.07,0.22
2023-08-19T06:59:22.000,0.29,127.11,-0.18,0.23
2023-08-19T07:14:22.000,0.26,109.83,-0.09,0.25
2023-08-19T07:29:22.000,0.26,107.18,-0.08,0.25
2023-08-19T07:44:22.000,0.24,174,-0.24,0.03
2023-08-19T07:59:22.000,0.29,80.9,0.05,0.28
2023-08-19T08:14:22.000,0.29,137.63,-0.22,0.2
2023-08-19T08:29:22.000,0.22,114.17,-0.09,0.2
2023-08-19T08:44:22.000,0.31,215.59,-0.26,-0.18
