ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-08-18T12:38:20.000,1.04,90.09,-0.00,1.04
2023-08-18T12:53:20.000,1.08,91.23,-0.02,1.08
2023-08-18T13:08:20.000,1.48,100.65,-0.27,1.45
2023-08-18T13:23:20.000,2.68,106.41,-0.76,2.58
2023-08-18T13:38:20.000,2.71,113.65,-1.09,2.48
2023-08-18T13:53:20.000,0.99,107.32,-0.29,0.95
2023-08-18T14:08:20.000,0.38,45.72,0.26,0.27
2023-08-18T14:23:20.000,0.77,104.69,-0.19,0.74
2023-08-18T14:38:20.000,0.86,100.98,-0.16,0.85
2023-08-18T14:53:20.000,1.41,106.06,-0.39,1.35
2023-08-18T15:08:20.000,1.14,98.89,-0.18,1.12
2023-08-18T15:23:20.000,0.39,27.29,0.35,0.18
2023-08-18T15:38:20.000,0.60,69.62,0.21,0.57
2023-08-18T15:53:20.000,0.33,71.37,0.10,0.31
2023-08-18T16:08:20.000,0.25,54.20,0.15,0.20
2023-08-18T16:23:20.000,0.60,62.34,0.28,0.53
2023-08-18T16:38:20.000,0.62,8.86,0.62,0.10
2023-08-18T16:53:20.000,0.39,59.64,0.20,0.33
2023-08-18T17:08:20.000,0.39,44.39,0.28,0.27
2023-08-18T17:23:20.000,0.33,67.23,0.13,0.31
2023-08-18T17:38:20.000,0.45,48.46,0.30,0.34
2023-08-18T17:53:20.000,0.26,69.24,0.09,0.24
2023-08-18T18:08:20.000,0.17,127.77,-0.11,0.14
2023-08-18T18:23:20.000,0.43,66.60,0.17,0.39
2023-08-18T18:38:20.000,0.19,68.15,0.07,0.18
2023-08-18T18:53:20.000,0.32,77.04,0.07,0.32
2023-08-18T19:08:20.000,0.51,356.61,0.51,-0.03
2023-08-18T19:23:20.000,0.67,17.08,0.64,0.20
2023-08-18T19:38:20.000,0.40,4.18,0.40,0.03
2023-08-18T19:53:20.000,0.35,15.02,0.33,0.09
2023-08-18T20:08:20.000,0.24,20.95,0.23,0.09
2023-08-18T20:23:20.000,0.47,11.10,0.46,0.09
2023-08-18T20:38:20.000,0.43,329.49,0.37,-0.22
2023-08-18T20:53:20.000,0.23,64.21,0.10,0.21
2023-08-18T21:08:20.000,0.29,45.84,0.20,0.21
2023-08-18T21:23:20.000,0.07,44.89,0.05,0.05
2023-08-18T21:38:20.000,0.51,353.05,0.50,-0.06
2023-08-18T21:53:20.000,0.28,75.17,0.07,0.27
2023-08-18T22:08:20.000,0.66,71.44,0.21,0.63
2023-08-18T22:23:20.000,0.21,76.99,0.05,0.21
2023-08-18T22:38:20.000,0.22,55.06,0.13,0.18
2023-08-18T22:53:20.000,0.26,16.97,0.25,0.08
2023-08-18T23:08:20.000,0.17,28.50,0.15,0.08
2023-08-18T23:23:20.000,0.05,131.96,-0.03,0.04
2023-08-18T23:38:20.000,0.32,359.98,0.32,-0.00
2023-08-18T23:53:20.000,0.10,133.18,-0.07,0.07
2023-08-19T00:08:20.000,0.22,140.79,-0.17,0.14
2023-08-19T00:23:20.000,0.05,134.18,-0.03,0.03
2023-08-19T00:38:20.000,0.20,337.29,0.19,-0.08
2023-08-19T00:53:20.000,0.22,188.03,-0.22,-0.03
2023-08-19T01:08:20.000,0.35,159.76,-0.33,0.12
