ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2024-03-05T09:26:11.000,41.71,283.19,9.52,-40.61
2024-03-05T09:41:11.000,247.41,261.18,-37.92,-244.49
2024-03-05T09:56:11.000,246.91,236.17,-137.48,-205.09
2024-03-05T10:11:11.000,241.95,45.18,170.54,171.62
2024-03-05T10:26:11.000,247.36,253.85,-68.81,-237.59
2024-03-05T10:41:11.000,161.38,159.77,-151.42,55.81
2024-03-05T10:56:11.000,2.75,165.13,-2.66,0.71
2024-03-05T11:11:11.000,0.26,346.55,0.25,-0.06
2024-03-05T11:26:11.000,0.57,159.23,-0.54,0.20
2024-03-05T11:41:11.000,0.56,121.24,-0.29,0.48
2024-03-05T11:56:11.000,0.61,121.55,-0.32,0.52
2024-03-05T12:11:11.000,1.17,152.72,-1.04,0.54
2024-03-05T12:26:11.000,0.64,150.79,-0.56,0.31
2024-03-05T12:41:11.000,0.94,138.51,-0.70,0.62
2024-03-05T12:56:11.000,0.68,141.99,-0.53,0.42
2024-03-05T13:11:11.000,1.26,155.82,-1.15,0.52
2024-03-05T13:26:11.000,1.14,146.24,-0.95,0.63
2024-03-05T13:41:11.000,1.28,160.08,-1.20,0.44
2024-03-05T13:56:11.000,1.01,141.51,-0.79,0.63
2024-03-05T14:11:11.000,0.77,153.91,-0.69,0.34
2024-03-05T14:26:11.000,1.50,139.16,-1.13,0.98
2024-03-05T14:41:11.000,0.41,188.22,-0.41,-0.06
2024-03-05T14:56:11.000,0.41,179.34,-0.41,0.00
2024-03-05T15:11:11.000,0.75,186.48,-0.75,-0.08
2024-03-05T15:26:11.000,0.29,161.45,-0.28,0.09
2024-03-05T15:41:11.000,0.49,165.31,-0.47,0.12
2024-03-05T15:56:11.000,0.65,165.27,-0.63,0.16
2024-03-05T16:11:11.000,0.24,213.40,-0.20,-0.13
2024-03-05T16:26:11.000,0.42,260.30,-0.07,-0.41
2024-03-05T16:41:11.000,0.66,302.71,0.35,-0.55
2024-03-05T16:56:11.000,0.61,288.32,0.19,-0.58
2024-03-05T17:11:11.000,0.52,268.53,-0.01,-0.52
2024-03-05T17:26:11.000,0.38,298.89,0.18,-0.33
2024-03-05T17:41:11.000,0.48,291.30,0.17,-0.45
2024-03-05T17:56:11.000,0.70,304.67,0.40,-0.58
2024-03-05T18:11:11.000,0.37,249.46,-0.13,-0.35
2024-03-05T18:26:11.000,0.59,289.46,0.20,-0.56
2024-03-05T18:41:11.000,0.58,285.10,0.15,-0.56
2024-03-05T18:56:11.000,0.50,278.92,0.08,-0.49
2024-03-05T19:11:11.000,0.54,296.23,0.24,-0.48
2024-03-05T19:26:11.000,0.60,259.61,-0.11,-0.59
2024-03-05T19:41:11.000,0.62,278.54,0.09,-0.61
2024-03-05T19:56:11.000,0.38,260.90,-0.06,-0.38
2024-03-05T20:11:11.000,0.52,275.31,0.05,-0.52
2024-03-05T20:26:11.000,0.52,277.21,0.07,-0.52
2024-03-05T20:41:11.000,0.35,258.38,-0.07,-0.35
2024-03-05T20:56:11.000,0.79,295.53,0.34,-0.71
2024-03-05T21:11:11.000,0.73,272.12,0.03,-0.73
2024-03-05T21:26:11.000,0.60,255.48,-0.15,-0.58
2024-03-05T21:41:11.000,0.55,291.65,0.20,-0.51
2024-03-05T21:56:11.000,0.56,290.12,0.19,-0.53
2024-03-05T22:11:11.000,0.57,293.40,0.23,-0.52
2024-03-05T22:26:11.000,0.39,283.28,0.09,-0.38
2024-03-05T22:41:11.000,0.60,295.29,0.26,-0.55
2024-03-05T22:56:11.000,0.53,285.25,0.14,-0.51
2024-03-05T23:11:11.000,0.48,290.87,0.17,-0.45
2024-03-05T23:26:11.000,0.62,286.60,0.18,-0.59
2024-03-05T23:41:11.000,0.53,287.56,0.16,-0.51
2024-03-05T23:56:11.000,0.53,279.99,0.09,-0.52
2024-03-06T00:11:11.000,0.45,290.39,0.16,-0.43
2024-03-06T00:26:11.000,0.51,268.65,-0.01,-0.51
2024-03-06T00:41:11.000,0.55,280.69,0.10,-0.54
2024-03-06T00:56:11.000,0.55,281.72,0.11,-0.54
2024-03-06T01:11:11.000,0.45,277.68,0.06,-0.44
2024-03-06T01:26:11.000,0.49,266.51,-0.03,-0.49
2024-03-06T01:41:11.000,0.53,268.97,-0.01,-0.53
2024-03-06T01:56:11.000,0.49,305.03,0.28,-0.40
2024-03-06T02:11:11.000,0.39,280.41,0.07,-0.38
2024-03-06T02:26:11.000,0.46,275.82,0.05,-0.46
2024-03-06T02:41:11.000,0.54,291.25,0.20,-0.51
2024-03-06T02:56:11.000,0.42,265.80,-0.03,-0.42
2024-03-06T03:11:11.000,0.55,296.18,0.24,-0.49
2024-03-06T03:26:11.000,0.51,277.47,0.07,-0.50
2024-03-06T03:41:11.000,0.38,275.61,0.04,-0.38
2024-03-06T03:56:11.000,0.42,293.57,0.17,-0.38
2024-03-06T04:11:11.000,0.39,286.47,0.11,-0.38
2024-03-06T04:26:11.000,0.28,271.15,0.01,-0.28
2024-03-06T04:41:11.000,0.37,291.37,0.13,-0.34
2024-03-06T04:56:11.000,0.45,287.96,0.14,-0.43
2024-03-06T05:11:11.000,0.59,260.66,-0.10,-0.58
