Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
8/18/2023,15:00,0.102,-,0.22
8/18/2023,15:06,0.101,-,0.222
8/18/2023,15:12,0.1,-,0.226
8/18/2023,15:18,0.098,-,0.223
8/18/2023,15:24,0.097,-,0.228
8/18/2023,15:30,0.096,-,0.227
8/18/2023,15:36,0.095,-,0.22
8/18/2023,15:42,0.094,-,0.221
8/18/2023,15:48,0.093,-,0.221
8/18/2023,15:54,0.092,-,0.225
8/18/2023,16:00,0.092,-,0.22
8/18/2023,16:06,0.091,-,0.226
8/18/2023,16:12,0.09,-,0.22
8/18/2023,16:18,0.09,-,0.216
8/18/2023,16:24,0.089,-,0.213
8/18/2023,16:30,0.089,-,0.217
8/18/2023,16:36,0.089,-,0.226
8/18/2023,16:42,0.088,-,0.237
8/18/2023,16:48,0.088,-,0.237
8/18/2023,16:54,0.088,-,0.233
8/18/2023,17:00,0.088,-,0.232
8/18/2023,17:06,0.089,-,0.224
8/18/2023,17:12,0.089,-,0.223
8/18/2023,17:18,0.089,-,0.222
8/18/2023,17:24,0.09,-,0.228
8/18/2023,17:30,0.09,-,0.233
8/18/2023,17:36,0.091,-,0.237
8/18/2023,17:42,0.091,-,0.236
8/18/2023,17:48,0.092,-,0.237
8/18/2023,17:54,0.093,-,0.244
8/18/2023,18:00,0.094,-,0.243
8/18/2023,18:06,0.095,-,0.248
8/18/2023,18:12,0.096,-,0.253
8/18/2023,18:18,0.097,-,0.258
8/18/2023,18:24,0.098,-,0.256
8/18/2023,18:30,0.099,-,0.259
8/18/2023,18:36,0.1,-,0.258
8/18/2023,18:42,0.101,-,0.26
8/18/2023,18:48,0.103,-,0.266
8/18/2023,18:54,0.104,-,0.276
8/18/2023,19:00,0.106,-,0.28
8/18/2023,19:06,0.107,-,0.28
8/18/2023,19:12,0.109,-,0.279
8/18/2023,19:18,0.11,-,0.272
8/18/2023,19:24,0.112,-,0.267
8/18/2023,19:30,0.113,-,0.264
8/18/2023,19:36,0.115,-,0.273
8/18/2023,19:42,0.117,-,0.274
8/18/2023,19:48,0.119,-,0.284
8/18/2023,19:54,0.12,-,0.29
8/18/2023,20:00,0.122,-,0.291
8/18/2023,20:06,0.124,-,0.287
8/18/2023,20:12,0.126,-,0.285
8/18/2023,20:18,0.128,-,0.284
8/18/2023,20:24,0.13,-,0.275
8/18/2023,20:30,0.132,-,0.285
8/18/2023,20:36,0.134,-,0.289
8/18/2023,20:42,0.136,-,0.302
8/18/2023,20:48,0.138,-,0.301
8/18/2023,20:54,0.14,-,0.301
8/18/2023,21:00,0.142,-,0.295
8/18/2023,21:06,0.144,-,0.289
8/18/2023,21:12,0.147,-,0.291
8/18/2023,21:18,0.149,-,0.293
8/18/2023,21:24,0.151,-,0.293
8/18/2023,21:30,0.153,-,0.301
8/18/2023,21:36,0.156,-,0.311
8/18/2023,21:42,0.158,-,0.309
8/18/2023,21:48,0.16,-,0.31
8/18/2023,21:54,0.163,-,0.308
8/18/2023,22:00,0.165,-,0.308
8/18/2023,22:06,0.168,-,0.307
8/18/2023,22:12,0.17,-,0.303
8/18/2023,22:18,0.172,-,0.303
8/18/2023,22:24,0.175,-,0.304
8/18/2023,22:30,0.177,-,0.308
8/18/2023,22:36,0.18,-,0.32
8/18/2023,22:42,0.182,-,0.324
8/18/2023,22:48,0.185,-,0.326
8/18/2023,22:54,0.187,-,0.325
8/18/2023,23:00,0.19,-,0.326
8/18/2023,23:06,0.192,-,0.322
8/18/2023,23:12,0.194,-,0.336
8/18/2023,23:18,0.197,-,0.34
8/18/2023,23:24,0.199,-,0.337
8/18/2023,23:30,0.201,-,0.334
8/18/2023,23:36,0.203,-,0.332
8/18/2023,23:42,0.205,-,0.343
8/18/2023,23:48,0.207,-,0.355
8/18/2023,23:54,0.209,-,0.36
8/19/2023,0:00,0.211,-,0.354
8/19/2023,0:06,0.213,-,0.35
8/19/2023,0:12,0.215,-,0.352
8/19/2023,0:18,0.217,-,0.35
8/19/2023,0:24,0.218,-,0.343
8/19/2023,0:30,0.22,-,0.344
8/19/2023,0:36,0.221,-,0.349
8/19/2023,0:42,0.222,-,0.357
8/19/2023,0:48,0.224,-,0.359
8/19/2023,0:54,0.225,-,0.357
8/19/2023,1:00,0.226,-,0.35
8/19/2023,1:06,0.227,-,0.347
